user,review,rating,review_tokenized,no_stopword,stemmed_review,lemmatized_review
Efembina Sipayung,"aplikasi ini memang sangat membantu,tapi tolong untuk driver gojek atau gocarnya dikasih tauu supaya dalam keadaaan ready menjemput penumpang,bukan jadi penumpang yang menunggu yang ganti baju dululah,yang antar penumpang dululah,jadi yang semestinya saya nyampe ontime jadi telat ke lokasi tujuan. kan jadinya kesal",4,"aplikasi ini memang sangat membantu,tapi tolong untuk driver gojek atau gocarnya dikasih tauu supaya dalam keadaaan ready menjemput penumpang,bukan jadi penumpang yang menunggu yang ganti baju dululah,yang antar penumpang dululah,jadi yang semestinya saya nyampe ontime jadi telat ke lokasi tujuan. kan jadinya kesal","aplikasi memang sangat membantu,tapi untuk driver gojek gocarnya dikasih tauu dalam keadaaan ready menjemput penumpang,bukan jadi penumpang menunggu ganti baju dululah,yang antar penumpang dululah,jadi semestinya nyampe ontime jadi telat lokasi tujuan. kan jadinya kesal",aplikasi ini memang sangat bantu tapi tolong untuk driver gojek atau gocarnya kasih tauu supaya dalam keadaaan ready jemput tumpang bukan jadi tumpang yang tunggu yang ganti baju dululah yang antar tumpang dululah jadi yang mesti saya nyampe ontime jadi telat ke lokasi tuju kan jadi kesal,jek
Bali Luwih,"pada apk gojek pelanggan notif chat tidak muncul (yg biasanya warna merah muncul di pojok kanan atas chat) kemudian pesan gojek lama betul pedahal sekitar saya pesan ada driver malah yg jauh dapetnya,",1,"pada apk gojek pelanggan notif chat tidak muncul (yg biasanya warna merah muncul di pojok kanan atas chat) kemudian pesan gojek lama betul pedahal sekitar saya pesan ada driver malah yg jauh dapetnya,","apk gojek pelanggan notif chat muncul (yg biasanya warna merah muncul pojok kanan atas chat) kemudian pesan gojek lama betul pedahal saya pesan driver malah yg jauh dapetnya,",pada apk gojek langgan notif chat tidak muncul yg biasa warna merah muncul di pojok kanan atas chat kemudian pesan gojek lama betul pedahal sekitar saya pesan ada driver malah yg jauh dapetnya,gojekif chatjek
bluee,"akhir akhir ini selalu error. berapa kali saya buka app buat pesan gofood, menu di tokonya ga semua tampil, sebagian besar layar putih, kalau saya tungguin lama baru muncul menu lainnya, itu pun kalau saya klik, ga muncul muncul pop up buat ngeliat lebih jelas menu yg saya klik td, terus keranjang makanan saya jg kadang hilang, jd pas mau dicheck out, harus keluar dulu, lalu masuk lagi buat munculin",1,"akhir akhir ini selalu error. berapa kali saya buka app buat pesan gofood, menu di tokonya ga semua tampil, sebagian besar layar putih, kalau saya tungguin lama baru muncul menu lainnya, itu pun kalau saya klik, ga muncul muncul pop up buat ngeliat lebih jelas menu yg saya klik td, terus keranjang makanan saya jg kadang hilang, jd pas mau dicheck out, harus keluar dulu, lalu masuk lagi buat munculin","akhir akhir selalu error. berapa kali buka app buat pesan gofood, menu tokonya ga semua tampil, sebagian besar layar putih, kalau tungguin lama baru muncul menu lainnya, pun kalau klik, ga muncul muncul pop up buat ngeliat lebih jelas menu yg klik td, terus keranjang makanan jg kadang hilang, jd pas mau dicheck out, keluar dulu, lalu masuk buat munculin",akhir akhir ini selalu error berapa kali saya buka app buat pesan gofood menu di toko ga semua tampil bagi besar layar putih kalau saya tungguin lama baru muncul menu lain itu pun kalau saya klik ga muncul muncul pop up buat ngeliat lebih jelas menu yg saya klik td terus keranjang makan saya jg kadang hilang jd pas mau dicheck out harus keluar dulu lalu masuk lagi buat munculin,app gofood
Raafi Rizaldi,"sudah dua kali nunggu gak dapet driver, ga ada kepastian juga dari gojek, total nunggu 1 jam 50 menit an ga dapet apa"" beda sama sebelah. waktu dulu saya juga sering dapet kendala kayak gini, makanya saya pindah aja ke platform sebelah.",1,"sudah dua kali nunggu gak dapet driver, ga ada kepastian juga dari gojek, total nunggu 1 jam 50 menit an ga dapet apa"" beda sama sebelah. waktu dulu saya juga sering dapet kendala kayak gini, makanya saya pindah aja ke platform sebelah.","dua kali nunggu gak dapet driver, ga kepastian dari gojek, total nunggu 1 jam 50 menit an ga dapet apa"" beda sama sebelah. waktu dulu juga sering dapet kendala kayak gini, makanya pindah aja platform sebelah.",sudah dua kali nunggu gak dapet driver ga ada pasti juga dari gojek total nunggu 1 jam 50 menit an ga dapet apa beda sama belah waktu dulu saya juga sering dapet kendala kayak gin makanya saya pindah aja ke platform belah,dua gojek 1 jam 50 menit gin
Syahrial Prio,aplikasi go-jek terlalu kaku jadi tolong diperbaiki lagi dari segi pelayanan maupun aplikasi itu sendiri karena saya lupa memencet tombol back ketika akan memberi bintang kepada driver mungkin driver merasa kecewa itu saja terima kasih,2,aplikasi go-jek terlalu kaku jadi tolong diperbaiki lagi dari segi pelayanan maupun aplikasi itu sendiri karena saya lupa memencet tombol back ketika akan memberi bintang kepada driver mungkin driver merasa kecewa itu saja terima kasih,aplikasi go-jek terlalu kaku jadi diperbaiki dari segi pelayanan maupun aplikasi sendiri saya lupa memencet tombol back akan memberi bintang driver mungkin driver merasa kecewa saja terima kasih,aplikasi go-jek terlalu kaku jadi tolong baik lagi dari segi layan maupun aplikasi itu sendiri karena saya lupa pencet tombol back ketika akan beri bintang kepada driver mungkin driver rasa kecewa itu saja terima kasih,go - jek
Aditya Wanda Refnaldy,saya kasih bintang satu dulu ya perbaiki sistem gak bisa kendala transfer ke mandiri sering gagal tf gua tidak mau lagi pakai app ini,1,saya kasih bintang satu dulu ya perbaiki sistem gak bisa kendala transfer ke mandiri sering gagal tf gua tidak mau lagi pakai app ini,kasih bintang satu dulu perbaiki sistem gak kendala transfer mandiri sering gagal tf gua mau pakai app,saya kasih bintang satu dulu ya baik sistem gak bisa kendala transfer ke mandiri sering gagal tf gua tidak mau lagi pakai app ini,app
Bondan Kurnia Siwi,"apk sering banget eror pdhl udh update, udah pake data sama wifi kok bisa ""yah internetnya mati"" ????? ini gak cuma di satu hp masalahnya. tolong lah yg bener jangan eror terus!!!!!!!!",1,"apk sering banget eror pdhl udh update, udah pake data sama wifi kok bisa ""yah internetnya mati"" ????? ini gak cuma di satu hp masalahnya. tolong lah yg bener jangan eror terus!!!!!!!!","apk sering banget eror pdhl udh update, udah pake data sama wifi kok ""yah internetnya mati"" ????? gak cuma satu hp masalahnya. lah yg bener jangan eror terus!!!!!!!!",apk sering banget eror pdhl udh update udah pake data sama wifi kok bisa yah internetnya mati ini gak cuma di satu hp masalah tolong lah yg bener jangan eror terus,ap wifi satu
SAFITRI NURFADILLAH,"drivernya bagus, ramah, dan cepat. cuma hampir 5 hari saya ga pakai karena tidak bisa masuk akun karena alasan jaringan pdhl jaringan saya lancar. gojek tolong perbaiki aplikasinya yah. terimakasih",4,"drivernya bagus, ramah, dan cepat. cuma hampir 5 hari saya ga pakai karena tidak bisa masuk akun karena alasan jaringan pdhl jaringan saya lancar. gojek tolong perbaiki aplikasinya yah. terimakasih","drivernya bagus, ramah, cepat. cuma hampir 5 hari ga pakai tidak masuk akun alasan jaringan pdhl jaringan lancar. gojek perbaiki aplikasinya yah. terimakasih",drivernya bagus ramah dan cepat cuma hampir 5 hari saya ga pakai karena tidak bisa masuk akun karena alas jaring pdhl jaring saya lancar gojek tolong baik aplikasi yah terimakasih,5 harihl gojek
Zohan Wahyudi,"pesan gofood jarak cma 5 menit dari toko, tiba2 liat ternyata ad anter ketmpt lain jdi jarak'ny 15-20 menit... kasian drivernya anter dari ujung ke ujung, dan makanan saya terlambat datang sudah dingin... seharusnya klo double antaran, jdi yg searah jgan dari ujung ke ujung... (saya order pake reguler pengantaran bukan hemat)",1,"pesan gofood jarak cma 5 menit dari toko, tiba2 liat ternyata ad anter ketmpt lain jdi jarak'ny 15-20 menit... kasian drivernya anter dari ujung ke ujung, dan makanan saya terlambat datang sudah dingin... seharusnya klo double antaran, jdi yg searah jgan dari ujung ke ujung... (saya order pake reguler pengantaran bukan hemat)","pesan gofood jarak cma 5 menit toko, tiba2 liat ternyata ad anter ketmpt jdi jarak'ny 15-20 menit... kasian drivernya anter ujung ujung, makanan terlambat datang dingin... klo double antaran, jdi yg searah jgan ujung ujung... (saya order pake reguler pengantaran bukan hemat)",pesan gofood jarak cma 5 menit dari toko tiba2 liat nyata ad anter ketmpt lain jdi jarak ny 15-20 menit kasi drivernya anter dari ujung ke ujung dan makan saya lambat datang sudah dingin harus klo double antar jdi yg arah jgan dari ujung ke ujung saya order pake reguler antar bukan hemat,food 5 menit j 15 - 20 menit
Ikhwan Mardian,"tiap pesan gofood, orderan lama banget di proses. seperti di gantung dulu, biar lama. jarak cm 500m aja, bisa setengah jam lebih. cuma minuman seduh, yg 5menit jadi. resto pun sedang sepi. tp durasi orderan setengah jam 5.. 👎👎👎",1,"tiap pesan gofood, orderan lama banget di proses. seperti di gantung dulu, biar lama. jarak cm 500m aja, bisa setengah jam lebih. cuma minuman seduh, yg 5menit jadi. resto pun sedang sepi. tp durasi orderan setengah jam 5.. 👎👎👎","tiap pesan gofood, orderan lama banget proses. di gantung dulu, biar lama. jarak cm 500m aja, setengah jam lebih. cuma minuman seduh, yg 5menit jadi. resto sedang sepi. tp durasi orderan setengah jam 5.. 👎👎👎",tiap pesan gofood order lama banget di proses seperti di gantung dulu biar lama jarak cm 500m aja bisa tengah jam lebih cuma minum seduh yg 5menit jadi resto pun sedang sepi tp durasi order tengah jam 5,500m jam 5
Bilva Herdian,"aplikasi disaat jam sibuk dan saat hujan suka mengalami gangguan, drivernya dapat yang jauh, lalu tiba tiba ketika sudah dekat mencari driver baru",1,"aplikasi disaat jam sibuk dan saat hujan suka mengalami gangguan, drivernya dapat yang jauh, lalu tiba tiba ketika sudah dekat mencari driver baru","aplikasi disaat jam sibuk saat hujan suka mengalami gangguan, drivernya yang jauh, lalu tiba tiba sudah dekat mencari driver baru",aplikasi saat jam sibuk dan saat hujan suka alami ganggu drivernya dapat yang jauh lalu tiba tiba ketika sudah dekat cari driver baru,
Achmad Wildan,"apk sama sekali tidak melindungi konsumen, hati2 dg pemesanan remote (bukan anda penerimanya), dr pengalaman saya, apk ini melindungi mitranya, tapi tidak melindungi hak konsumen, chat dg customer service nya pun melalui mesin, bukan manusia aktif, kita tidak bisa berinteraksi langsung dg mereka, saya sangat kecewa, ga akan lagi pesan remote dr gojek",1,"apk sama sekali tidak melindungi konsumen, hati2 dg pemesanan remote (bukan anda penerimanya), dr pengalaman saya, apk ini melindungi mitranya, tapi tidak melindungi hak konsumen, chat dg customer service nya pun melalui mesin, bukan manusia aktif, kita tidak bisa berinteraksi langsung dg mereka, saya sangat kecewa, ga akan lagi pesan remote dr gojek","apk sama sekali melindungi konsumen, hati2 dg pemesanan remote (bukan penerimanya), dr pengalaman saya, apk melindungi mitranya, tidak melindungi hak konsumen, chat dg customer service nya melalui mesin, bukan manusia aktif, tidak berinteraksi langsung dg mereka, sangat kecewa, ga lagi pesan remote dr gojek",apk sama sekali tidak lindung konsumen hati2 dg mesan remote bukan anda terima dr alam saya apk ini lindung mitra tapi tidak lindung hak konsumen chat dg customer service nya pun lalu mesin bukan manusia aktif kita tidak bisa interaksi langsung dg mereka saya sangat kecewa ga akan lagi pesan remote dr gojek,remote mesin dr gojek
alvin nahdah,"saya pesan gofood, nunggu sejam keterangannya masih dicariin driver dan gak bisa dibatalkan, posisi lagi capek dan lapar banget karena puasa, eh ujung2nya gak bisa, dibatalin dari aplikasi. kesel banget serius, maksimal 20 menit lah kalau gak dapat driver buat makanan tuh. sejam loh ini.",1,"saya pesan gofood, nunggu sejam keterangannya masih dicariin driver dan gak bisa dibatalkan, posisi lagi capek dan lapar banget karena puasa, eh ujung2nya gak bisa, dibatalin dari aplikasi. kesel banget serius, maksimal 20 menit lah kalau gak dapat driver buat makanan tuh. sejam loh ini.","pesan gofood, nunggu sejam keterangannya dicariin driver gak dibatalkan, posisi capek lapar banget puasa, eh ujung2nya gak bisa, dibatalin aplikasi. kesel banget serius, maksimal 20 menit lah kalau gak driver buat makanan tuh. sejam loh ini.",saya pesan gofood nunggu jam terang masih dicariin driver dan gak bisa batal posisi lagi capek dan lapar banget karena puasa eh ujung2nya gak bisa dibatalin dari aplikasi kesel banget serius maksimal 20 menit lah kalau gak dapat driver buat makan tuh jam loh ini,gofood 20 menit
F2racing exhaust chanel,"buat manajemen gojek, percuma banget kasih promo atau discount atau potongan harga, percuma banget bersaing dengan potongan harga karna dampak bagi kami pemakai aplikasi tidak puas malah lebih dapat pelayanan yang sangat buruk, saya termasuk pengguna aktif gojek bahkan untuk paylather saya sangat tinggi, kami rela membayar lebih bahkan tidak masalah dengan catatan pelayanan bagus, percuma potongan discount atau promo, uang tips kami lebih besar dari potongan2 itu semua",1,"buat manajemen gojek, percuma banget kasih promo atau discount atau potongan harga, percuma banget bersaing dengan potongan harga karna dampak bagi kami pemakai aplikasi tidak puas malah lebih dapat pelayanan yang sangat buruk, saya termasuk pengguna aktif gojek bahkan untuk paylather saya sangat tinggi, kami rela membayar lebih bahkan tidak masalah dengan catatan pelayanan bagus, percuma potongan discount atau promo, uang tips kami lebih besar dari potongan2 itu semua","buat manajemen gojek, percuma banget kasih promo discount potongan harga, percuma banget bersaing potongan harga karna dampak pemakai aplikasi puas malah lebih pelayanan sangat buruk, termasuk pengguna aktif gojek bahkan paylather sangat tinggi, rela membayar lebih bahkan masalah catatan pelayanan bagus, percuma potongan discount promo, uang tips kami lebih besar potongan2 semua",buat manajemen gojek percuma banget kasih promo atau discount atau potong harga percuma banget saing dengan potong harga karna dampak bagi kami pakai aplikasi tidak puas malah lebih dapat layan yang sangat buruk saya masuk guna aktif gojek bahkan untuk paylather saya sangat tinggi kami rela bayar lebih bahkan tidak masalah dengan catat layan bagus percuma potong discount atau promo uang tips kami lebih besar dari potongan2 itu semua,manajemen gojek perc gojek
16 Margareta Ade Ratih N.,"sering pesen gofood dan pada telat semua makanannya. padahal di notanya ada biaya biar makanannya ga telat (& ini udah dari sistemnya, jadi gabisa dihapus), tapi nyatanya semua makanan yang saya pesen telat.",2,"sering pesen gofood dan pada telat semua makanannya. padahal di notanya ada biaya biar makanannya ga telat (& ini udah dari sistemnya, jadi gabisa dihapus), tapi nyatanya semua makanan yang saya pesen telat.","sering pesen gofood pada telat semua makanannya. padahal notanya biaya biar makanannya ga telat (& udah sistemnya, jadi gabisa dihapus), nyatanya semua makanan saya pesen telat.",sering sen gofood dan pada telat semua makan padahal di nota ada biaya biar makan ga telat ini udah dari sistem jadi gabisa hapus tapi nyata semua makan yang saya sen telat,
Fadhel_02 M,"saya pesan go-food berulang kali tetapi estimasi waktu yg diberikan tidak berjalan ditambah susah mencari driver dan di cancel terus, padahal sdh nunggu lebih dr satu jam tapi estimasi waktu tidak berubah benar benar membuat coustemer jera!!",1,"saya pesan go-food berulang kali tetapi estimasi waktu yg diberikan tidak berjalan ditambah susah mencari driver dan di cancel terus, padahal sdh nunggu lebih dr satu jam tapi estimasi waktu tidak berubah benar benar membuat coustemer jera!!","pesan go-food berulang kali estimasi waktu yg diberikan berjalan ditambah susah mencari driver di cancel terus, padahal sdh nunggu lebih dr satu jam estimasi waktu berubah benar benar membuat coustemer jera!!",saya pesan go-food ulang kali tetapi estimasi waktu yg beri tidak jalan tambah susah cari driver dan di cancel terus padahal sdh nunggu lebih dr satu jam tapi estimasi waktu tidak ubah benar benar buat coustemer jera,go - food cancel sd satu jam
Iyan (Abdul Wahid),"bener bener lama,lambat,sering di cancel, terutama saat dalan keadaan genting seperti ibu saya sedang sakit. sudah order yang katanya ""cepat dan dekat"" sama saja lambatnya, ujung-ujungnya belain mesen taxi manual",3,"bener bener lama,lambat,sering di cancel, terutama saat dalan keadaan genting seperti ibu saya sedang sakit. sudah order yang katanya ""cepat dan dekat"" sama saja lambatnya, ujung-ujungnya belain mesen taxi manual","bener bener lama,lambat,sering cancel, terutama dalan keadaan genting ibu sedang sakit. order katanya ""cepat dekat"" sama lambatnya, ujung-ujungnya belain mesen taxi manual",bener bener lama lambat sering di cancel utama saat dal ada genting seperti ibu saya sedang sakit sudah order yang kata cepat dan dekat sama saja lambat ujung bain mesen taxi manual,cancel
Indah Sri Rezeky Sinurat,"udah bertahun make ini apk ga pernah ngerasa ga worth it, tapi kemaren kek ngerasa apes banget, pesan gofood dari jam 2 pagi trus sampe jam 9 ga ada diantar sama sekali lalu tiba-tiba pesanan sudah terselesaikan, jujur aja kecewa berat, bukan masalah kehilangan uang yang ga seberapa tapi kek jadi ga mau percaya lagi sama aplikasi nya.",1,"udah bertahun make ini apk ga pernah ngerasa ga worth it, tapi kemaren kek ngerasa apes banget, pesan gofood dari jam 2 pagi trus sampe jam 9 ga ada diantar sama sekali lalu tiba-tiba pesanan sudah terselesaikan, jujur aja kecewa berat, bukan masalah kehilangan uang yang ga seberapa tapi kek jadi ga mau percaya lagi sama aplikasi nya.","udah bertahun make apk ga pernah ngerasa ga worth it, kemaren kek ngerasa apes banget, pesan gofood jam 2 pagi trus sampe jam 9 ga diantar sama sekali lalu tiba-tiba pesanan terselesaikan, jujur aja kecewa berat, bukan masalah kehilangan uang ga seberapa kek jadi ga mau percaya sama aplikasi nya.",udah tahun make ini apk ga pernah ngerasa ga worth it tapi kemaren kek ngerasa apes banget pesan gofood dari jam 2 pagi trus sampe jam 9 ga ada antar sama sekali lalu tiba pesan sudah selesai jujur aja kecewa berat bukan masalah hilang uang yang ga berapa tapi kek jadi ga mau percaya lagi sama aplikasi nya,go 2 9
Kenan Kumoro,"ngecewain bgt servis dari cs gojek ini, saya salah tempat pesan gofood dan niat mengcancel, hanya saja terlalu ribet urusannya untuk sekadar mengcancel pesanan dan servis dari gojek ini sangat tidak membantu dan dari cs nya pun sangat sangat tidak bisa komunikatif🙏 saya harap dri kritik saya ini bisa dievaluasi lagi untuk fitur cancel pesanannya karena ini sangat merugikan pihak pembeli misalkan terjadi kesalahan pesan dan tidak bisa dicancel, apalagi gabisa dikomunikasikan dengan baik 😂",1,"ngecewain bgt servis dari cs gojek ini, saya salah tempat pesan gofood dan niat mengcancel, hanya saja terlalu ribet urusannya untuk sekadar mengcancel pesanan dan servis dari gojek ini sangat tidak membantu dan dari cs nya pun sangat sangat tidak bisa komunikatif🙏 saya harap dri kritik saya ini bisa dievaluasi lagi untuk fitur cancel pesanannya karena ini sangat merugikan pihak pembeli misalkan terjadi kesalahan pesan dan tidak bisa dicancel, apalagi gabisa dikomunikasikan dengan baik 😂","ngecewain bgt servis cs gojek ini, salah tempat pesan gofood niat mengcancel, saja terlalu ribet urusannya sekadar mengcancel pesanan servis gojek sangat membantu dari cs nya sangat sangat komunikatif🙏 harap dri kritik ini dievaluasi untuk fitur cancel pesanannya ini sangat merugikan pihak pembeli misalkan terjadi kesalahan pesan tidak bisa dicancel, gabisa dikomunikasikan baik 😂",ngecewain bgt servis dari cs gojek ini saya salah tempat pesan gofood dan niat mengcancel hanya saja terlalu ribet urus untuk sekadar mengcancel pesan dan servis dari gojek ini sangat tidak bantu dan dari cs nya pun sangat sangat tidak bisa komunikatif saya harap dri kritik saya ini bisa evaluasi lagi untuk fitur cancel pesan karena ini sangat rugi pihak beli misal jadi salah pesan dan tidak bisa dicancel apalagi gabisa komunikasi dengan baik,cs gojekfood gojek cs
Dyah Putri,mesen makan. sampai 1 jam lebih gk dpt driver. pesen lagi sama sejam gk dpt driver. ini bisa gak di ubah waktunya.. maximal 15 sampai 20 menit gitu. kalau gk dpt driver langsung batal pesanan. capek banget udah kelaperan lagi. bikin emosi,1,mesen makan. sampai 1 jam lebih gk dpt driver. pesen lagi sama sejam gk dpt driver. ini bisa gak di ubah waktunya.. maximal 15 sampai 20 menit gitu. kalau gk dpt driver langsung batal pesanan. capek banget udah kelaperan lagi. bikin emosi,mesen makan. 1 jam lebih gk dpt driver. pesen sama sejam gk dpt driver. bisa gak ubah waktunya.. maximal 15 20 menit gitu. kalau gk dpt driver langsung batal pesanan. capek banget udah kelaperan lagi. bikin emosi,mesen makan sampai 1 jam lebih gk dpt driver sen lagi sama jam gk dpt driver ini bisa gak di ubah waktu maximal 15 sampai 20 menit gitu kalau gk dpt driver langsung batal pesan capek banget udah kelaperan lagi bikin emosi,1 jam gk dpt driver gk dpt driver 15 sampai 20 menit gk dpt driver
Diah Yuniantari,"skrg gojek kurang bagus, aplgi semenjak kalau pesan gofood langsung masuk ke restoran. makanannya lama disajikan pdhl saya tau restoran itu tinggal mengambil saja tanpa memasak karena semua sudah siap, belum lagi susah cari drivernya dan ujung²nya di cancel. saya selalu nunggu makanan 1 atau 2 jam pdhl resto sangat dekat dr rumah. saran saya, lebih baik sistem gofood dikembalikan seperti dulu, driver yg jalan ke resto dan pesan sendiri daripada lgsg ke restonya karena resto kdg² lemot atau lupa",2,"skrg gojek kurang bagus, aplgi semenjak kalau pesan gofood langsung masuk ke restoran. makanannya lama disajikan pdhl saya tau restoran itu tinggal mengambil saja tanpa memasak karena semua sudah siap, belum lagi susah cari drivernya dan ujung²nya di cancel. saya selalu nunggu makanan 1 atau 2 jam pdhl resto sangat dekat dr rumah. saran saya, lebih baik sistem gofood dikembalikan seperti dulu, driver yg jalan ke resto dan pesan sendiri daripada lgsg ke restonya karena resto kdg² lemot atau lupa","skrg gojek kurang bagus, aplgi semenjak kalau pesan gofood langsung masuk restoran. makanannya lama disajikan pdhl tau restoran tinggal mengambil tanpa memasak semua siap, lagi susah cari drivernya ujung²nya cancel. selalu nunggu makanan 1 2 jam pdhl resto sangat dekat dr rumah. saran saya, lebih baik sistem gofood dikembalikan dulu, driver yg jalan resto pesan sendiri lgsg restonya resto kdg² lemot lupa",skrg gojek kurang bagus aplgi semenjak kalau pesan gofood langsung masuk ke restoran makan lama saji pdhl saya tau restoran itu tinggal ambil saja tanpa masak karena semua sudah siap belum lagi susah cari drivernya dan ujung nya di cancel saya selalu nunggu makan 1 atau 2 jam pdhl resto sangat dekat dr rumah saran saya lebih baik sistem gofood kembali seperti dulu driver yg jalan ke resto dan pesan sendiri daripada lgsg ke restonya karena resto kdg lot atau lupa,skrgjek ap gofood cancel 1 2 jam gofood lgsg
Kresnadr03,"ini idenya siapa sih buat nyari driver berdasarkan estimasi? udah nunggu sejam malah dibatalin gara-gara gak dapat driver. customer nunggu lama, resto juga udah mau jadi malah cancel. harusnya kek dulu lah, begitu pesan langsung cari driver, biar pasti.",2,"ini idenya siapa sih buat nyari driver berdasarkan estimasi? udah nunggu sejam malah dibatalin gara-gara gak dapat driver. customer nunggu lama, resto juga udah mau jadi malah cancel. harusnya kek dulu lah, begitu pesan langsung cari driver, biar pasti.","idenya siapa sih buat nyari driver berdasarkan estimasi? udah nunggu sejam malah dibatalin gara-gara gak driver. customer nunggu lama, resto udah mau jadi malah cancel. harusnya kek dulu lah, pesan langsung cari driver, biar pasti.",ini ide siapa sih buat nyari driver dasar estimasi udah nunggu jam malah dibatalin gara-gara gak dapat driver customer nunggu lama resto juga udah mau jadi malah cancel harus kek dulu lah begitu pesan langsung cari driver biar pasti,res
anisa alfia,go-jek nya amannn tapi kalau musim hujan kayak gini cari gocar susah banget ga mungkin juga kan kehujanan toh pakai mobil.. kalo go-food sekarang ga kayak dulu... pesan makanan di daerah yang tidak jauh dari alamat tujuan ongkirnya mahal banget _- biaya layanannya juga banyak_-,3,go-jek nya amannn tapi kalau musim hujan kayak gini cari gocar susah banget ga mungkin juga kan kehujanan toh pakai mobil.. kalo go-food sekarang ga kayak dulu... pesan makanan di daerah yang tidak jauh dari alamat tujuan ongkirnya mahal banget _- biaya layanannya juga banyak_-,go-jek nya amannn kalau musim hujan kayak gini cari gocar susah banget ga mungkin kan kehujanan pakai mobil.. kalo go-food sekarang ga kayak dulu... pesan makanan daerah tidak jauh alamat tujuan ongkirnya mahal banget _- biaya layanannya banyak_-,go-jek nya amannn tapi kalau musim hujan kayak gin cari gocar susah banget ga mungkin juga kan hujan toh pakai mobil kalo go-food sekarang ga kayak dulu pesan makan di daerah yang tidak jauh dari alamat tuju ongkirnya mahal banget - biaya layan juga banyak -,go - jek mobil go - food
Hexa Gram,"tulisan nya 30 menit lagi, ini udah 2 jam ane ga sampe sampe makanan ane , gimana sih ni aplikasi ga konsekuen sama tulisan yang tertera di aplikasi , sya kira 30 menit makanan udah sampe, gatau nya udah hampir 2 jam makanan ga nyampe nyampe gimana coba pertanggung jawabannya dari pihak gojek ... hmmmm...",1,"tulisan nya 30 menit lagi, ini udah 2 jam ane ga sampe sampe makanan ane , gimana sih ni aplikasi ga konsekuen sama tulisan yang tertera di aplikasi , sya kira 30 menit makanan udah sampe, gatau nya udah hampir 2 jam makanan ga nyampe nyampe gimana coba pertanggung jawabannya dari pihak gojek ... hmmmm...","tulisan nya 30 menit lagi, udah 2 jam ane ga sampe sampe makanan ane , gimana sih ni aplikasi ga konsekuen sama tulisan tertera aplikasi , sya kira 30 menit makanan udah sampe, gatau nya udah hampir 2 jam makanan ga nyampe nyampe gimana coba pertanggung jawabannya pihak gojek ... hmmmm...",tulis nya 30 menit lagi ini udah 2 jam ane ga sampe sampe makan ane gimana sih ni aplikasi ga konsekuen sama tulis yang tera di aplikasi sya kira 30 menit makan udah sampe gatau nya udah hampir 2 jam makan ga nyampe nyampe gimana coba tanggung jawab dari pihak gojek hmmmm,30 menit 2 jam makanan ane 30 menit 2 jam gojek . hmmmm . .
Cinta Fitria,"kemarin saya pesen gojek, yg pertama cancel krna ktanya driver nya lgi tmbal ban, saya pake pembayaran mbanking bri, begitu di cancel uang nya ga langsung ke refund, langsung saya pesen ke 2 kali nya trnyata sm juga minta cancel krna posisi saya kejauhan, tp 2 2 nya uangnya gada yg di refund sm skali, mana 1 kali booking 75.000, rugi 150.000 aku, sampe hari ini uang nya gada balik lagi, kesel bgt, kecewa!!",3,"kemarin saya pesen gojek, yg pertama cancel krna ktanya driver nya lgi tmbal ban, saya pake pembayaran mbanking bri, begitu di cancel uang nya ga langsung ke refund, langsung saya pesen ke 2 kali nya trnyata sm juga minta cancel krna posisi saya kejauhan, tp 2 2 nya uangnya gada yg di refund sm skali, mana 1 kali booking 75.000, rugi 150.000 aku, sampe hari ini uang nya gada balik lagi, kesel bgt, kecewa!!","kemarin pesen gojek, yg pertama cancel krna ktanya driver nya lgi tmbal ban, pake pembayaran mbanking bri, cancel uang nya ga langsung refund, langsung pesen 2 kali nya trnyata sm minta cancel krna posisi kejauhan, tp 2 2 nya uangnya gada yg di refund sm skali, mana 1 kali booking 75.000, rugi 150.000 aku, sampe hari uang nya gada balik lagi, kesel bgt, kecewa!!",kemarin saya sen gojek yg pertama cancel krna ktanya driver nya lgi tmbal ban saya pake bayar mbanking bri begitu di cancel uang nya ga langsung ke refund langsung saya sen ke 2 kali nya trnyata sm juga minta cancel krna posisi saya jauh tp 2 2 nya uang gada yg di refund sm skali mana 1 kali booking 75 000 rugi 150 000 aku sampe hari ini uang nya gada balik lagi kesel bgt kecewa,pertama cancel krna lgi tmbal ban mban bri 2 cancel kr 2 2 refund sm skali 1 75 . 000 150 . 000 bg
